Latitude,Longitude,Rainfall,MaxTemp,MinTemp
6.5,66.5,,,
6.5,66.75,,,
6.5,67.0,,,
6.5,67.25,,,
6.5,67.5,,,
6.5,67.75,,,
6.5,68.0,,,
6.5,68.25,,,
6.5,68.5,,,
6.5,68.75,,,
6.5,69.0,,,
6.5,69.25,,,
6.5,69.5,,,
6.5,69.75,,,
6.5,70.0,,,
6.5,70.25,,,
6.5,70.5,,,
6.5,70.75,,,
6.5,71.0,,,
6.5,71.25,,,
6.5,71.5,,,
6.5,71.75,,,
6.5,72.0,,,
6.5,72.25,,,
6.5,72.5,,,
6.5,72.75,,,
6.5,73.0,,,
6.5,73.25,,,
6.5,73.5,,,
6.5,73.75,,,
6.5,74.0,,,
6.5,74.25,,,
6.5,74.5,,,
6.5,74.75,,,
6.5,75.0,,,
6.5,75.25,,,
6.5,75.5,,,
6.5,75.75,,,
6.5,76.0,,,
6.5,76.25,,,
6.5,76.5,,,
6.5,76.75,,,
6.5,77.0,,,
6.5,77.25,,,
6.5,77.5,,,
6.5,77.75,,,
6.5,78.0,,,
6.5,78.25,,,
6.5,78.5,,,
6.5,78.75,,,
6.5,79.0,,,
6.5,79.25,,,
6.5,79.5,,,
6.5,79.75,,,
6.5,80.0,,,
6.5,80.25,,,
6.5,80.5,,,
6.5,80.75,,,
6.5,81.0,,,
6.5,81.25,,,
6.5,81.5,,,
6.5,81.75,,,
6.5,82.0,,,
6.5,82.25,,,
6.5,82.5,,,
6.5,82.75,,,
6.5,83.0,,,
6.5,83.25,,,
6.5,83.5,,,
6.5,83.75,,,
6.5,84.0,,,
6.5,84.25,,,
6.5,84.5,,,
6.5,84.75,,,
6.5,85.0,,,
6.5,85.25,,,
6.5,85.5,,,
6.5,85.75,,,
6.5,86.0,,,
6.5,86.25,,,
6.5,86.5,,,
6.5,86.75,,,
6.5,87.0,,,
6.5,87.25,,,
6.5,87.5,,,
6.5,87.75,,,
6.5,88.0,,,
6.5,88.25,,,
6.5,88.5,,,
6.5,88.75,,,
6.5,89.0,,,
6.5,89.25,,,
